Сайт;Тип блока;Заголовок;Описание;Дата и время;Картинка;Ссылка
lenta.ru;MINI;Стало известно о продолжении контактов США и России по конфликту на Украине;;18:43;;https://lenta.ru/news/2025/11/16/stalo-izvestno-o-prodolzhenii-kontaktov-ssha-i-rossii-po-konfliktu-na-ukraine/
lenta.ru;MINI;Пенсионер повернул не туда по дороге к врачу и оказался за 1600 километров от дома;;18:36;;https://lenta.ru/news/2025/11/16/pensioner-povernul-ne-tuda-po-doroge-k-vrachu-i-okazalsya-za-1600-kilometrov-ot-doma/
lenta.ru;MINI;Россиянам назвали худшее действие при затоплении соседей;;18:30;;https://lenta.ru/news/2025/11/16/rossiyanam-nazvali-hudshee-deystvie-pri-zatoplenii-sosedey/
lenta.ru;MINI;Глава СВР высказался о роли СССР в победе над нацизмом;;18:28;;https://lenta.ru/news/2025/11/16/glava-svr-vyskazalsya-o-roli-sssr-v-pobede-nad-natsizmom/
lenta.ru;MINI;Москвичей предупредили об опасности;;18:27;;https://lenta.ru/news/2025/11/16/moskvichey-predupredili-ob-opasnosti/
lenta.ru;MINI;Греция и Украина подписали меморандум о поставках газа;;18:27;;https://lenta.ru/news/2025/11/16/gretsiya-i-ukraina-podpisali-memorandum-o-postavkah-kievu-gaza-iz-ssha/
lenta.ru;BIG;Амстердам решил избавиться от имиджа города грехов.;И для этого собирается строить «мегабордель»;00:01;https://icdn.lenta.ru/images/2025/11/07/17/20251107173059953/owl_article_280_bb2a9f425497e0e2742a784b5e03aaf3.jpg;https://lenta.ru/extlink/2025/11/07/amsterdam-reshil-izbavitsya-ot-imidzha-goroda-grehov/?intlnk=true
lenta.ru;MINI;Реакция США на коррупционный скандал на Украине вызвала удивление в Кремле;;;https://icdn.lenta.ru/images/2025/11/16/12/20251116124308324/owl_sq_40_276e541e3d049cf6c6de428bed990bd2.jpg;https://lenta.ru/news/2025/11/16/spetspredstavitel-putina-udivilsya-reaktsii-ssha-na-korruptsionnyy-skandal-na-ukraine/
lenta.ru;MINI;В Кремле ответили на вопрос о следующей встрече Путина и Трампа;;;https://icdn.lenta.ru/images/2025/11/16/11/20251116114808000/owl_sq_40_a2bb5295c9673039f2f242531dacbc7f.jpg;https://lenta.ru/news/2025/11/16/v-kremle-otvetili-na-vopros-o-sleduyuschey-vstreche-putina-i-trampa/
lenta.ru;MINI;Махачев победил Маддалену и стал чемпионом UFC в полусреднем весе;;;https://icdn.lenta.ru/images/2025/11/16/09/20251116090839755/owl_sq_40_60520ff4e818ad9f5bc401484943900e.jpg;https://lenta.ru/news/2025/11/16/mahachev-pobedil-maddalenu-i-stal-chempionom-ufc-v-polusrednem-vese/
lenta.ru;MINI;Европа не смогла убедить Бельгию конфисковать российские активы в пользу Украины. Хранящий деньги депозитарий готов судиться;;;https://icdn.lenta.ru/images/2025/11/15/23/20251115231502239/owl_sq_40_c1b04ce8e8cec3374e23d070b98842a4.jpg;https://lenta.ru/news/2025/11/16/evropa-ne-smogla-ubedit-belgiyu-konfiskovat-rossiyskie-aktivy-v-polzu-ukrainy-hranyaschiy-dengi-depozitariy-gotov-suditsya/
lenta.ru;MINI;«Была дружественная обстановка». Депутаты Европарламента посетили Россию. Что они говорят о поездке?;;;https://icdn.lenta.ru/images/2025/11/15/19/20251115190126717/owl_sq_40_3030dad30206786df6c0f1c12d95d2df.jpg;https://lenta.ru/news/2025/11/15/byla-druzhestvennaya-obstanovka-rossiyu-posetili-neskolko-deputatov-evroparlamenta-chto-oni-govoryat-o-poezdke/
lenta.ru;MINI;«Задействованы серьезные люди». В Киеве на митинг против Зеленского пришли меньше 100 человек;;;https://icdn.lenta.ru/images/2025/11/15/16/20251115160918622/owl_sq_40_32ba12ee8398588f401d610917690a67.jpg;https://lenta.ru/news/2025/11/15/zadeystvovany-serieznye-lyudi-v-kieve-na-miting-protiv-zelenskogo-prishli-menshe-100-chelovek/
lenta.ru;MINI;«Он сам себя отправил бы в газовую камеру». Анализ ДНК выявил у Гитлера редкую генетическую мутацию;;;https://icdn.lenta.ru/images/2025/11/13/14/20251113142224581/owl_sq_40_de235554ffaf4f3bd74f0e8acfa8b7df.jpg;https://lenta.ru/news/2025/11/13/on-sam-sebya-otpravil-by-v-gazovuyu-kameru-analiz-dnk-vyyavil-u-gitlera-geneticheskuyu-mutatsiyu-penisa-i/
lenta.ru;MINI;Сафари на людей. Богачам из Европы продавали туры в зону боевых действий для «снайперского туризма». Что известно о расследовании?;;;https://icdn.lenta.ru/images/2025/11/13/12/20251113123201467/owl_sq_40_5c018eae51490abb30a6baae8e0429cc.jpg;https://lenta.ru/news/2025/11/13/sarajevo/
lenta.ru;MINI;Сидни Суини обвинили в расизме из-за рекламы с ее «хорошими генами». Реакция звезды на хейт превратилась в мем;;;https://icdn.lenta.ru/images/2025/11/11/19/20251111195318923/owl_sq_40_3a88cfabc6aa166f6d4a40c30dedd234.jpg;https://lenta.ru/news/2025/11/13/sidni-suini/
lenta.ru;MINI;Женщины перестали бриться, а бренды зарабатывают миллионы на белье с волосами. Почему растительность на теле стала трендом?;;;https://icdn.lenta.ru/images/2025/11/12/14/20251112145217575/owl_sq_40_45fcd209f85cae1d513fc6c81fa1a7c4.jpg;https://lenta.ru/extlink/2025/11/12/trendom/?intlnk=true
lenta.ru;MINI;«Смотреть матом научиться нельзя». Иностранцы пытаются освоить «славянский взгляд». Почему у них ничего не получается?;;;https://icdn.lenta.ru/images/2025/11/06/11/20251106113100564/owl_sq_40_ff75769bb134faad98069adf51311b53.jpg;https://lenta.ru/news/2025/11/12/slavic-stare/
lenta.ru;MINI;Связанный с Соросом миллионер-филантроп заманивал моделей Playboy в свое секс-подземелье. За его делом следит вся Америка;;;https://icdn.lenta.ru/images/2025/11/07/14/20251107143846983/owl_sq_40_fd747670c95cfac6fe01b6f554a8bd90.jpg;https://lenta.ru/news/2025/11/10/rubim-howard/
lenta.ru;MINI;Многие люди стесняются обращаться к врачу при проблемах, связанных с дефекацией. Как понять, что пора бить тревогу?;;;https://icdn.lenta.ru/images/2025/09/01/22/20250901222405228/owl_sq_40_5f43db66877218b494ec16cc30b631ed.jpg;https://lenta.ru/news/2025/11/09/bolezni/
lenta.ru;BIG;Россияне лишились элитных квартир, купленных в Египте 17 лет назад. Людей выгнали с вещами на улицу;;17:30;https://icdn.lenta.ru/images/2025/11/16/17/20251116171807862/owl_article_250_fc8a9bbc35f4b1084caf0e6b927962b8.jpg;https://lenta.ru/news/2025/11/16/rossiyane-lishilis-elitnyh-kvartir-kuplennyh-v-egipte-17-let-nazad-lyudey-vygnali-s-veschami-na-ulitsu/
lenta.ru;BIG;Беспилотники ВСУ атаковали Волгоград. В многоэтажке начался пожар, пострадали три человека;;04:43;https://icdn.lenta.ru/images/2025/11/16/03/20251116034928286/owl_article_250_48c4baee1db18f9d9b06847246191bcb.jpg;https://lenta.ru/news/2025/11/16/bespilotniki-vsu-atakovali-volgograd-v-mnogoetazhke-nachalsya-pozhar-postradali-tri-cheloveka/
lenta.ru;BIG;Европа не смогла убедить Бельгию конфисковать российские активы в пользу Украины. Хранящий деньги депозитарий готов судиться;;01:21;https://icdn.lenta.ru/images/2025/11/15/23/20251115231502239/owl_article_250_bf7291efb881e0b81fcd4b85c3bd9eb7.jpg;https://lenta.ru/news/2025/11/16/evropa-ne-smogla-ubedit-belgiyu-konfiskovat-rossiyskie-aktivy-v-polzu-ukrainy-hranyaschiy-dengi-depozitariy-gotov-suditsya/
lenta.ru;BIG;Амстердам решил избавиться от имиджа города грехов. И для этого собирается строить «мегабордель»;;00:01;https://icdn.lenta.ru/images/2025/11/07/17/20251107173011187/owl_article_250_1b7ccb6af3e4d8cf6bea8b1531e71752.jpg;https://lenta.ru/news/2025/11/16/amsterdam/
lenta.ru;BIG;«Была дружественная обстановка». Депутаты Европарламента посетили Россию. Что они говорят о поездке?;;18:14, 15 ноября 2025;https://icdn.lenta.ru/images/2025/11/15/17/20251115174439164/owl_article_250_8a4417928ae54a4d2a83534c863af6f9.jpg;https://lenta.ru/news/2025/11/15/byla-druzhestvennaya-obstanovka-rossiyu-posetili-neskolko-deputatov-evroparlamenta-chto-oni-govoryat-o-poezdke/
lenta.ru;BIG;«Задействованы серьезные люди». В Киеве на митинг против Зеленского пришли меньше 100 человек;;16:56, 15 ноября 2025;https://icdn.lenta.ru/images/2025/11/15/16/20251115160558260/owl_article_250_c7d0c46c99c16708c60756ec2c6b51e6.jpg;https://lenta.ru/news/2025/11/15/zadeystvovany-serieznye-lyudi-v-kieve-na-miting-protiv-zelenskogo-prishli-menshe-100-chelovek/
lenta.ru;BIG;В США заявили о планах Трампа конфисковать российские активы. О какой сумме идет речь?;;04:49, 15 ноября 2025;https://icdn.lenta.ru/images/2025/11/15/04/20251115044029392/owl_article_250_15377025408d137a9520a3dd1e8ffcff.jpg;https://lenta.ru/news/2025/11/15/v-ssha-vyskazalis-o-konfiskatsii-rossiyskih-aktivov/
lenta.ru;BIG;«Ад, кишащий педофилами». Что на самом деле происходит в онлайн-игре Roblox, которая популярна у российских детей?;;00:01, 15 ноября 2025;https://icdn.lenta.ru/images/2025/11/14/13/20251114135127722/owl_article_250_b93747a9baf8d3176fb30ed015b29b65.jpg;https://lenta.ru/news/2025/11/15/roblox/
lenta.ru;BIG;«Такие вещи бывают». Обломки «Искандера» упали на посольство Азербайджана в Киеве. Как на это отреагировали в Баку и Москве?;;19:21, 14 ноября 2025;https://icdn.lenta.ru/images/2025/11/14/18/20251114183608364/owl_article_250_bf20f64f099bc90d58d6730ddb4f1708.jpg;https://lenta.ru/news/2025/11/14/takie-veschi-byvayut-oblomki-iskandera-upali-na-posolstvo-azerbaydzhana-v-kieve-kak-na-eto-otreagirovali-v-baku-i-moskve/
lenta.ru;BIG;Грузовик с оружием перехватили на въезде в российскую колонию. Несколько лет назад там произошел бунт;;15:47, 14 ноября 2025;https://icdn.lenta.ru/images/2025/11/14/15/20251114152221473/owl_article_250_b4b702a4c7767aa2199fcc7377c1313f.jpg;https://lenta.ru/news/2025/11/14/gruzovik-s-oruzhiem/
lenta.ru;BIG;«Это жесть». Российская армия нанесла удар возмездия «Кинжалами» по Украине;;15:30, 14 ноября 2025;https://icdn.lenta.ru/images/2025/11/14/14/20251114143858868/owl_article_250_623b1563b3e3d1d440f1ff7fba6f23d1.jpg;https://lenta.ru/news/2025/11/14/eto-zhest-rossiyskaya-armiya-nanesla-udar-vozmezdiya-kinzhalami-po-ukraine/
lenta.ru;BIG;«Зима может стать решающей для Украины». В России объявили о реализации самого жесткого варианта «плана Суровикина»;;05:00, 13 ноября 2025;https://icdn.lenta.ru/images/2025/11/13/09/20251113091340542/owl_article_250_ced713f87426cefbb6d35a9fc57d478a.jpg;https://lenta.ru/news/2025/11/13/zima-mozhet-stat-reshayuschey-dlya-ukrainy-v-rossii-ob-yavili-o-realizatsii-samogo-zhestkogo-varianta-plana-surovikina/
lenta.ru;BIG;На Западе раскрыли три этапа плана России по подчинению Киева. Первый — лишение Украины доступа к Черному морю;;11:57, 12 ноября 2025;https://icdn.lenta.ru/images/2025/11/12/11/20251112113439574/owl_article_250_d098b2b7573065b485a2b14695980181.jpg;https://lenta.ru/news/2025/11/12/na-zapade-raskryli-tri-etapa-plana-rossii-po-podchineniyu-kieva-pervyy-lishenie-ukrainy-dostupa-k-chernomu-moryu/
lenta.ru;BIG;Галкину грозит до трех лет тюрьмы в Израиле. Что он сделал?;;14:06, 14 ноября 2025;https://icdn.lenta.ru/images/2025/11/14/12/20251114125826303/owl_article_250_9727816a502dcafdbfa1158186274649.jpg;https://lenta.ru/news/2025/11/14/galkin-turma/
lenta.ru;BIG;«Больше ни одного евро Украине!» Вокруг Зеленского разгорелся коррупционный скандал. Почему его называют предупреждением Трампа?;;19:14, 12 ноября 2025;https://icdn.lenta.ru/images/2025/11/12/15/20251112153936223/owl_article_250_86f60ed445db91249dc5648cf6f61a2d.jpg;https://lenta.ru/news/2025/11/12/ssha-i-korruptsiya-na-ukraine/
lenta.ru;BIG;Набиуллина признала ошибку в сигналах по ключевой ставке. Из-за этого российский бизнес набрал слишком много дорогих кредитов;;13:02, 14 ноября 2025;https://icdn.lenta.ru/images/2025/11/14/12/20251114124851128/owl_article_250_be23ed0361bab04b31ee32d06c119ed0.jpg;https://lenta.ru/news/2025/11/14/nabiullina-priznala-oshibku-v-signalah-po-klyuchevoy-stavke-iz-za-etogo-rossiyskiy-biznes-nabral-slishkom-mnogo-dorogih-kreditov/
lenta.ru;BIG;«Пройдут ускоренное обучение и будут служить». В России планируют призвать несколько тысяч резервистов. Куда их направят?;;11:15, 14 ноября 2025;https://icdn.lenta.ru/images/2025/11/14/10/20251114103125822/owl_article_250_7e5a1763c765d74116fffc99454af34d.jpg;https://lenta.ru/news/2025/11/14/proydut-uskorennoe-obuchenie-i-budut-sluzhit-v-rossii-planiruyut-prizvat-neskolko-tysyach-rezervistov-kuda-ih-napravyat/
lenta.ru;BIG;ФСБ пресекла теракт против одного из высших чиновников России. Скрытая камера на кладбище, куратор из Киева и другие подробности;;09:04, 14 ноября 2025;https://icdn.lenta.ru/images/2025/11/14/08/20251114084550248/owl_article_250_912ead3bdba0a5ba89be274e09f55bac.jpg;https://lenta.ru/news/2025/11/14/fsb-presekla-terakt-protiv-odnogo-iz-vysshih-chinovnikov-rossii-skrytaya-kamera-na-kladbische-kurator-iz-kieva-i-drugie-podrobnosti/
lenta.ru;BIG;Украина подверглась очередной массированной атаке. Киев потрясли семь непрерывных серий мощных взрывов за ночь;;06:58, 14 ноября 2025;https://icdn.lenta.ru/images/2025/11/14/06/20251114065821955/owl_article_250_75c310111de38432d271f8809bee1091.jpg;https://lenta.ru/news/2025/11/14/ukraina-podverglas-ocherednoy-massirovannoy-atake-kiev-potryasli-uzhe-sem-nepreryvnyh-seriy-moschnyh-vzryvov/
lenta.ru;BIG;«Злейший враг ВСУ». Какое российское секретное подразделение переломило ход спецоперации?;;03:39, 14 ноября 2025;https://icdn.lenta.ru/images/2025/11/14/03/20251114033847090/owl_article_250_0835adbc35e4537b8dc668ee622fdf2d.jpg;https://lenta.ru/news/2025/11/14/zleyshiy-vrag-vsu-kakoe-rossiyskoe-sekretnoe-podrazdelenie-perelomilo-hod-spetsoperatsii/
lenta.ru;BIG;«Бумеранг увольнений»;Работники по всему миру лишились должностей из-за ИИ. Почему их позвали обратно?;00:01;https://icdn.lenta.ru/images/2025/11/14/16/20251114164859147/owl_article_280_df2f235e88b0366754af8b02b463f5d8.jpg;https://lenta.ru/articles/2025/11/16/ai/
lenta.ru;MINI;Синоптик рассказал об аномальном декабре в Москве;;18:22;;https://lenta.ru/news/2025/11/16/sinoptik-rasskazal-ob-anomalnom-dekabre-v-moskve/
lenta.ru;MINI;В Польше высказались о намеченном в Германии аукционе с вещами узников концлагерей;;18:10;;https://lenta.ru/news/2025/11/16/v-polshe-vyskazalis-o-namechennom-v-germanii-auktsione-s-veschami-uznikov-kontslagerey/
lenta.ru;MINI;Российского ребенка госпитализировали после укуса медузы в Малайзии;;17:56;;https://lenta.ru/news/2025/11/16/rossiyskogo-rebenka-gospitalizirovali-posle-ukusa-meduzy-v-malayzii/
lenta.ru;MINI;Франция усомнилась в способности Украины вернуть многомиллиардный кредит;;17:55;;https://lenta.ru/news/2025/11/16/frantsiya-usomnilas-v-sposobnosti-ukrainy-vernut-mnogomilliardnyy-kredit/
lenta.ru;MINI;Черногорцев отправят на обучение ВСУ;;17:52;;https://lenta.ru/news/2025/11/16/chernogortsev-otpravlyayut-na-obuchenie-vsu/
lenta.ru;MINI;После пожара в российском кафе возбудили дело;;17:48;;https://lenta.ru/news/2025/11/16/posle-pozhara-v-rossiyskom-kafe-vozbudili-delo/
lenta.ru;BIG;«Он излучал силу, надежность и уверенность»;Россиянин 10 лет фотографирует маяки. Как их свет изменил его жизнь?;00:01;https://icdn.lenta.ru/images/2025/10/20/12/20251020122243305/owl_article_280_d766e806db11a532a2dc764c6ab188c5.jpg;https://lenta.ru/articles/2025/11/16/lighthouse/
lenta.ru;MINI;Оценены шансы сборной Португалии выйти на чемпионат мира-2026;;17:41;;https://lenta.ru/news/2025/11/16/otseneny-shansy-sbornoy-portugalii-vyyti-na-chempionat-mira-2026/
lenta.ru;BIG;«Ад, кишащий педофилами»;Что на самом деле происходит в онлайн-игре Roblox, которая популярна у российских детей?;00:01, 15 ноября 2025;https://icdn.lenta.ru/images/2025/11/14/13/20251114135513895/owl_article_280_186d5691169169e23f79dc1874f5ff37.jpg;https://lenta.ru/extlink/2025/11/15/roblox-roblox/?intlnk=true
lenta.ru;MINI;МИД Франции назвал условие дальнейшей поддержки Украины;;17:39;;https://lenta.ru/news/2025/11/16/mid-frantsii-nazval-uslovie-dalneyshey-podderzhki-ukrainy/
lenta.ru;MINI;Психиатр раскрыл неожиданный признак шизофрении;;17:32;;https://lenta.ru/news/2025/11/16/psihiatr-raskryl-neozhidannyy-priznak-shizofrenii/
lenta.ru;BIG;С начала года в России задержаны десятки топовых чиновников — губернаторов, мэров и их замов.;Что о них известно?;00:01, 6 ноября 2025;https://icdn.lenta.ru/images/2025/10/23/16/20251023162713532/owl_article_250_1c58cb29aafc5b8fb0ec743e9497e35e.jpg;https://lenta.ru/articles/2025/11/06/aresty/
lenta.ru;BIG;«Нет желающих получить ядерной бомбой»;Как меняется стратегия боевых действий на Украине и что может обрушить оборону ВСУ?;00:01, 7 ноября 2025;https://icdn.lenta.ru/images/2025/10/31/12/20251031125059148/owl_article_250_583ec9436d7efcdfc22dc7cdbd2d7a2a.jpg;https://lenta.ru/articles/2025/11/07/v-kashin/
lenta.ru;BIG;«Мы готовы заключить сделку»;Зачем Александр Лукашенко снова пытается наладить отношения с США и что это означает для России?;00:01, 5 ноября 2025;https://icdn.lenta.ru/images/2025/10/21/13/20251021130035121/owl_article_250_77c0bac1181114d6d6e86ed4071d4bb0.jpg;https://lenta.ru/articles/2025/11/05/us-belorus/
lenta.ru;WIDE;«Грабежи стали обычным явлением»;Как нацисты обращались с жителями советских деревень: уникальные кадры;;https://icdn.lenta.ru/images/2025/07/09/13/20250709130019001/owl_article_big_330_b9602364d28bfd04e1151db12d621d6d.jpg;https://lenta.ru/articles/2025/11/04/glaskovo/
lenta.ru;BIG;«Сделал все, что мог»;Черномырдин создал «Газпром», вел переговоры с Басаевым и сутки рулил страной. Каким он вошел в историю?;00:01, 3 ноября 2025;https://icdn.lenta.ru/images/2025/10/24/13/20251024135459296/owl_article_250_189a784ff5c561a9bebd7ad462d4db76.jpg;https://lenta.ru/articles/2025/11/03/chernomirdin/
lenta.ru;BIG;Случайная встреча вскрыла прошлое телеведущего и превратила его в изгоя.;Как запустилась цепочка загадочных и необъяснимых событий?;00:01, 6 ноября 2025;https://icdn.lenta.ru/images/2025/10/10/13/20251010135437859/owl_article_250_a16f2da17bc337096785e22970de1e98.jpg;https://lenta.ru/articles/2025/11/06/johnson/
lenta.ru;WIDE;«Даже окруженными русские держались за свои позиции»;Как начиналось вторжение нацистов в СССР. Уникальные кадры войны;;https://icdn.lenta.ru/images/2025/11/07/17/20251107173855134/owl_article_big_330_24e3acef46e74d0b775ec74ff53b987d.jpg;https://lenta.ru/articles/2025/11/08/bondar/
lenta.ru;BIG;Женщины перестали бриться, а бренды зарабатывают миллионы на белье с волосами.;Почему растительность на теле стала трендом?;00:01, 7 ноября 2025;https://icdn.lenta.ru/images/2025/11/06/21/20251106213444216/owl_article_250_b81d5c682ed7a80890667295dfd9dfab.jpg;https://lenta.ru/articles/2025/11/07/zhenschiny-perestali-britsya-a-brendy-vypuskayut-belie-s-feykovymi-volosami-i-zarabatyvayut-milliony/
lenta.ru;BIG;Валидольные бои, гранаты и топоры.;Штурмовик прошел Бахмут и описал все «как есть». Чем его история возмутила бойцов «Вагнера»?;00:01, 10 ноября 2025;https://icdn.lenta.ru/images/2025/11/01/11/20251101112705444/owl_article_250_b4f0142a5c075124e9230084d6a9f017.jpg;https://lenta.ru/articles/2025/11/10/peresidok/
lenta.ru;BIG;Умер знаменитый телеведущий Юрий Николаев.;С его передачей «Утренняя почта» просыпалась вся страна;22:10, 4 ноября 2025;https://icdn.lenta.ru/images/2025/11/05/11/20251105113028146/owl_article_250_194d60200e5131f5cbdcc6325d2677e0.jpg;https://lenta.ru/articles/2025/11/04/nikolaev/
lenta.ru;MINI;Москвичи сделали выбор между практичностью и модой в одежде;;17:27;;https://moslenta.ru/news/lyudi/moskvichi-sdelali-vybor-mezhdu-praktichnostyu-i-modoi-v-odezhde-16-11-2025.htm
lenta.ru;BIG;В кино — новый «Хищник».;Почему его уже называют лучшим фильмом в истории культовой франшизы?;00:01, 15 ноября 2025;https://icdn.lenta.ru/images/2025/11/14/13/20251114135351861/owl_article_280_e77ff716f4a6eb48406891792a4c521b.jpg;https://lenta.ru/articles/2025/11/15/predator/
lenta.ru;MINI;На Украине оценили шансы партии Порошенко нанести удар по Зеленскому;;17:25;;https://lenta.ru/news/2025/11/16/na-ukraine-otsenili-shansy-partii-poroshenko-nanesti-udar-po-zelenskomu/
lenta.ru;MINI;Израиль отреагировал на споры о еврейском происхождении Чебурашки;;17:15;;https://lenta.ru/news/2025/11/16/izrail-otreagiroval-na-spory-o-evreyskom-proishozhdenii-cheburashki/
lenta.ru;BIG;«Ставили на колени и затягивали петлю»;Банда Ключевских не щадила ни своих, ни чужих и 10 лет держала в страхе Забайкалье;00:01, 15 ноября 2025;https://icdn.lenta.ru/images/2025/11/14/15/20251114151724793/owl_article_280_6434cc3d44d8df91360a156fd69ca83b.jpg;https://lenta.ru/extlink/2025/11/15/kluchevskie/?intlnk=true
lenta.ru;MINI;Орбан оценил вероятность нападения России на Евросоюз;;17:02;;https://lenta.ru/news/2025/11/16/orban-otsenil-veroyatnost-napadeniya-rossii-na-evrosoyuz/
lenta.ru;MINI;Водолазы отчитались о результатах поисков тела ребенка в московском пруду;;16:57;;https://lenta.ru/news/2025/11/16/vodolazy-otchitalis-o-rezultatah-poiskov-tela-rebenka-v-moskovskom-prudu/
lenta.ru;MINI;Германия заплатит миллионы за защиту от беспилотников;;16:49;;https://lenta.ru/news/2025/11/16/germaniya-zaplatit-milliony-za-zaschitu-ot-bespilotnikov/
lenta.ru;MINI;Оценены шансы сборной Украины попасть в стыковые матчи за право выйти на ЧМ-2026;;16:45;;https://lenta.ru/news/2025/11/16/otseneny-shansy-sbornoy-ukrainy-popast-v-stykovye-matchi-za-pravo-vyyti-na-chm-2026/
lenta.ru;MINI;Премьер Венгрии рассказал о непростых отношениях с Ангелой Меркель;;16:36;;https://lenta.ru/news/2025/11/16/premier-vengrii-rasskazal-o-neprostyh-otnosheniyah-s-angeloy-merkel/
lenta.ru;BIG;«Справедливое наказание для меня — расстрел»;Как главарь самой жестокой банды Забайкалья стал героем СВО и таинственно исчез?;00:01, 14 ноября 2025;https://icdn.lenta.ru/images/2025/11/12/13/20251112135403783/owl_article_280_a675c8f609b88b88118cf78f8b88293b.jpg;https://lenta.ru/articles/2025/11/14/nakazanie-eto-rasstrel/
lenta.ru;MINI;Врач назвал правильную последовательность действий во время принятия душа;;16:35;;https://lenta.ru/news/2025/11/16/vrach-nazval-pravilnuyu-posledovatelnost-deystviy-vo-vremya-prinyatiya-dusha/
lenta.ru;VIDEO;record::d8c85ecc-c528-4146-88ce-d0c60743e106;;;https://icdn.lenta.ru/images/2025/08/06/19/20250806193006533/preview_efdb197425c5ef5b2a90f6de32d4c9ad.jpg;
lenta.ru;VIDEO;record::2ffb1462-f591-48dd-acba-d7fd26eac0a2;;;https://icdn.lenta.ru/images/2025/07/05/14/20250705140005667/preview_c0de784499085f06f6c27956fa70af8c.jpg;
