Функция: 3 ^ x mod 15
synth:
+-------------------------+
| x₄ x₃ x₂ x₁ f₄ f₃ f₂ f₁ |
|  0  1  1  0  0  1  1  0 |
|  0  1  1  0  0  1  1  1 |
|  0  1  1  0  1  0  0  0 |
|  0  1  1  0  1  0  0  1 |
|  0  1  1  0  1  0  1  0 |
|  0  1  1  0  1  0  1  1 |
|  0  1  1  0  1  1  0  0 |
|  0  1  1  0  1  1  0  1 |
|  0  1  1  0  1  1  1  0 |
|  0  1  1  0  1  1  1  1 |
|  0  1  1  1  0  0  0  0 |
|  0  1  1  1  0  0  0  1 |
|  0  1  1  1  0  0  1  0 |
|  0  1  1  1  0  0  1  1 |
|  0  1  1  1  0  1  0  0 |
|  0  1  1  1  0  1  0  1 |
|  0  1  1  1  0  1  1  0 |
|  0  1  1  1  0  1  1  1 |
|  0  1  1  1  1  0  0  0 |
|  0  1  1  1  1  0  0  1 |
|  0  1  1  1  1  0  1  0 |
|  0  1  1  1  1  0  1  1 |
|  0  1  1  1  1  1  0  0 |
|  0  1  1  1  1  1  0  1 |
|  0  1  1  1  1  1  1  0 |
|  0  1  1  1  1  1  1  1 |
|  1  0  0  0  0  0  0  0 |
|  1  0  0  0  0  0  0  1 |
|  1  0  0  0  0  0  1  0 |
|  1  0  0  0  0  0  1  1 |
|  1  0  0  0  0  1  0  0 |
|  1  0  0  0  0  1  0  1 |
|  1  0  0  0  0  1  1  0 |
|  1  0  0  0  0  1  1  1 |
|  1  0  0  0  1  0  0  0 |
|  1  0  0  0  1  0  0  1 |
|  1  0  0  0  1  0  1  0 |
|  1  0  0  0  1  0  1  1 |
|  1  0  0  0  1  1  0  0 |
|  1  0  0  0  1  1  0  1 |
|  1  0  0  0  1  1  1  0 |
|  1  0  0  0  1  1  1  1 |
|  1  0  0  1  0  0  0  0 |
|  1  0  0  1  0  0  0  1 |
|  1  0  0  1  0  0  1  0 |
|  1  0  0  1  0  0  1  1 |
|  1  0  0  1  0  1  0  0 |
|  1  0  0  1  0  1  0  1 |
|  1  0  0  1  0  1  1  0 |
|  1  0  0  1  0  1  1  1 |
|  1  0  0  1  1  0  0  0 |
|  1  0  0  1  1  0  0  1 |
|  1  0  0  1  1  0  1  0 |
|  1  0  0  1  1  0  1  1 |
|  1  0  0  1  1  1  0  0 |
|  1  0  0  1  1  1  0  1 |
|  1  0  0  1  1  1  1  0 |
|  1  0  0  1  1  1  1  1 |
|  1  0  1  0  0  0  0  0 |
|  1  0  1  0  0  0  0  1 |
|  1  0  1  0  0  0  1  0 |
|  1  0  1  0  0  0  1  1 |
|  1  0  1  0  0  1  0  0 |
|  1  0  1  0  0  1  0  1 |
|  1  0  1  0  0  1  1  0 |
|  1  0  1  0  0  1  1  1 |
|  1  0  1  0  1  0  0  0 |
|  1  0  1  0  1  0  0  1 |
|  1  0  1  0  1  0  1  0 |
|  1  0  1  0  1  0  1  1 |
|  1  0  1  0  1  1  0  0 |
|  1  0  1  0  1  1  0  1 |
|  1  0  1  0  1  1  1  0 |
|  1  0  1  0  1  1  1  1 |
|  1  0  1  1  0  0  0  0 |
|  1  0  1  1  0  0  0  1 |
|  1  0  1  1  0  0  1  0 |
|  1  0  1  1  0  0  1  1 |
|  1  0  1  1  0  1  0  0 |
|  1  0  1  1  0  1  0  1 |
|  1  0  1  1  0  1  1  0 |
|  1  0  1  1  0  1  1  1 |
|  1  0  1  1  1  0  0  0 |
|  1  0  1  1  1  0  0  1 |
|  1  0  1  1  1  0  1  0 |
|  1  0  1  1  1  0  1  1 |
|  1  0  1  1  1  1  0  0 |
|  1  0  1  1  1  1  0  1 |
|  1  0  1  1  1  1  1  0 |
|  1  0  1  1  1  1  1  1 |
|  1  1  0  0  0  0  0  0 |
|  1  1  0  0  0  0  0  1 |
|  1  1  0  0  0  0  1  0 |
|  1  1  0  0  0  0  1  1 |
|  1  1  0  0  0  1  0  0 |
|  1  1  0  0  0  1  0  1 |
|  1  1  0  0  0  1  1  0 |
|  1  1  0  0  0  1  1  1 |
|  1  1  0  0  1  0  0  0 |
|  1  1  0  0  1  0  0  1 |
|  1  1  0  0  1  0  1  0 |
|  1  1  0  0  1  0  1  1 |
|  1  1  0  0  1  1  0  0 |
|  1  1  0  0  1  1  0  1 |
|  1  1  0  0  1  1  1  0 |
|  1  1  0  0  1  1  1  1 |
|  1  1  0  1  0  0  0  0 |
|  1  1  0  1  0  0  0  1 |
|  1  1  0  1  0  0  1  0 |
|  1  1  0  1  0  0  1  1 |
|  1  1  0  1  0  1  0  0 |
|  1  1  0  1  0  1  0  1 |
|  1  1  0  1  0  1  1  0 |
|  1  1  0  1  0  1  1  1 |
|  1  1  0  1  1  0  0  0 |
|  1  1  0  1  1  0  0  1 |
|  1  1  0  1  1  0  1  0 |
|  1  1  0  1  1  0  1  1 |
|  1  1  0  1  1  1  0  0 |
|  1  1  0  1  1  1  0  1 |
|  1  1  0  1  1  1  1  0 |
|  1  1  0  1  1  1  1  1 |
|  1  1  1  0  0  0  0  0 |
|  1  1  1  0  0  0  0  1 |
|  1  1  1  0  0  0  1  0 |
|  1  1  1  0  0  0  1  1 |
|  1  1  1  0  0  1  0  0 |
|  1  1  1  0  0  1  0  1 |
|  1  1  1  0  0  1  1  0 |
|  1  1  1  0  0  1  1  1 |
|  1  1  1  0  1  0  0  0 |
|  1  1  1  0  1  0  0  1 |
|  1  1  1  0  1  0  1  0 |
|  1  1  1  0  1  0  1  1 |
|  1  1  1  0  1  1  0  0 |
|  1  1  1  0  1  1  0  1 |
|  1  1  1  0  1  1  1  0 |
|  1  1  1  0  1  1  1  1 |
|  1  1  1  1  0  0  0  0 |
|  1  1  1  1  0  0  0  1 |
|  1  1  1  1  0  0  1  0 |
|  1  1  1  1  0  0  1  1 |
|  1  1  1  1  0  1  0  0 |
|  1  1  1  1  0  1  0  1 |
|  1  1  1  1  0  1  1  0 |
|  1  1  1  1  0  1  1  1 |
|  1  1  1  1  1  0  0  0 |
|  1  1  1  1  1  0  0  1 |
|  1  1  1  1  1  0  1  0 |
|  1  1  1  1  1  0  1  1 |
|  1  1  1  1  1  1  0  0 |
|  1  1  1  1  1  1  0  1 |
|  1  1  1  1  1  1  1  0 |
|  1  1  1  1  1  1  1  1 |
+-------------------------+
ft:
+-------------------------------------+
| x₄ x₃ x₂ x₁ y₄^f₄ y₃^f₃ y₂^f₂ y₁^f₁ |
+-------------------------------------+
|  0  0  0  0     0     0     0     1 |
|  0  0  0  0     0     0     0     0 |
|  0  0  0  0     0     0     1     1 |
|  0  0  0  0     0     0     1     0 |
|  0  0  0  0     0     1     0     1 |
|  0  0  0  0     0     1     0     0 |
|  0  0  0  0     0     1     1     1 |
|  0  0  0  0     0     1     1     0 |
|  0  0  0  0     1     0     0     1 |
|  0  0  0  0     1     0     0     0 |
|  0  0  0  0     1     0     1     1 |
|  0  0  0  0     1     0     1     0 |
|  0  0  0  0     1     1     0     1 |
|  0  0  0  0     1     1     0     0 |
|  0  0  0  0     1     1     1     1 |
|  0  0  0  0     1     1     1     0 |
|  0  0  0  1     0     0     1     1 |
|  0  0  0  1     0     0     1     0 |
|  0  0  0  1     0     0     0     1 |
|  0  0  0  1     0     0     0     0 |
|  0  0  0  1     0     1     1     1 |
|  0  0  0  1     0     1     1     0 |
|  0  0  0  1     0     1     0     1 |
|  0  0  0  1     0     1     0     0 |
|  0  0  0  1     1     0     1     1 |
|  0  0  0  1     1     0     1     0 |
|  0  0  0  1     1     0     0     1 |
|  0  0  0  1     1     0     0     0 |
|  0  0  0  1     1     1     1     1 |
|  0  0  0  1     1     1     1     0 |
|  0  0  0  1     1     1     0     1 |
|  0  0  0  1     1     1     0     0 |
|  0  0  1  0     1     0     0     1 |
|  0  0  1  0     1     0     0     0 |
|  0  0  1  0     1     0     1     1 |
|  0  0  1  0     1     0     1     0 |
|  0  0  1  0     1     1     0     1 |
|  0  0  1  0     1     1     0     0 |
|  0  0  1  0     1     1     1     1 |
|  0  0  1  0     1     1     1     0 |
|  0  0  1  0     0     0     0     1 |
|  0  0  1  0     0     0     0     0 |
|  0  0  1  0     0     0     1     1 |
|  0  0  1  0     0     0     1     0 |
|  0  0  1  0     0     1     0     1 |
|  0  0  1  0     0     1     0     0 |
|  0  0  1  0     0     1     1     1 |
|  0  0  1  0     0     1     1     0 |
|  0  0  1  1     1     1     0     0 |
|  0  0  1  1     1     1     0     1 |
|  0  0  1  1     1     1     1     0 |
|  0  0  1  1     1     1     1     1 |
|  0  0  1  1     1     0     0     0 |
|  0  0  1  1     1     0     0     1 |
|  0  0  1  1     1     0     1     0 |
|  0  0  1  1     1     0     1     1 |
|  0  0  1  1     0     1     0     0 |
|  0  0  1  1     0     1     0     1 |
|  0  0  1  1     0     1     1     0 |
|  0  0  1  1     0     1     1     1 |
|  0  0  1  1     0     0     0     0 |
|  0  0  1  1     0     0     0     1 |
|  0  0  1  1     0     0     1     0 |
|  0  0  1  1     0     0     1     1 |
|  0  1  0  0     0     1     1     0 |
|  0  1  0  0     0     1     1     1 |
|  0  1  0  0     0     1     0     0 |
|  0  1  0  0     0     1     0     1 |
|  0  1  0  0     0     0     1     0 |
|  0  1  0  0     0     0     1     1 |
|  0  1  0  0     0     0     0     0 |
|  0  1  0  0     0     0     0     1 |
|  0  1  0  0     1     1     1     0 |
|  0  1  0  0     1     1     1     1 |
|  0  1  0  0     1     1     0     0 |
|  0  1  0  0     1     1     0     1 |
|  0  1  0  0     1     0     1     0 |
|  0  1  0  0     1     0     1     1 |
|  0  1  0  0     1     0     0     0 |
|  0  1  0  0     1     0     0     1 |
|  0  1  0  1     0     0     1     1 |
|  0  1  0  1     0     0     1     0 |
|  0  1  0  1     0     0     0     1 |
|  0  1  0  1     0     0     0     0 |
|  0  1  0  1     0     1     1     1 |
|  0  1  0  1     0     1     1     0 |
|  0  1  0  1     0     1     0     1 |
|  0  1  0  1     0     1     0     0 |
|  0  1  0  1     1     0     1     1 |
|  0  1  0  1     1     0     1     0 |
|  0  1  0  1     1     0     0     1 |
|  0  1  0  1     1     0     0     0 |
|  0  1  0  1     1     1     1     1 |
|  0  1  0  1     1     1     1     0 |
|  0  1  0  1     1     1     0     1 |
|  0  1  0  1     1     1     0     0 |
|  0  1  1  0     1     0     0     1 |
|  0  1  1  0     1     0     0     0 |
|  0  1  1  0     1     0     1     1 |
|  0  1  1  0     1     0     1     0 |
|  0  1  1  0     1     1     0     1 |
|  0  1  1  0     1     1     0     0 |
|  0  1  1  0     1     1     1     1 |
|  0  1  1  0     1     1     1     0 |
|  0  1  1  0     0     0     0     1 |
|  0  1  1  0     0     0     0     0 |
|  0  1  1  0     0     0     1     1 |
|  0  1  1  0     0     0     1     0 |
|  0  1  1  0     0     1     0     1 |
|  0  1  1  0     0     1     0     0 |
|  0  1  1  0     0     1     1     1 |
|  0  1  1  0     0     1     1     0 |
|  0  1  1  1     1     1     0     0 |
|  0  1  1  1     1     1     0     1 |
|  0  1  1  1     1     1     1     0 |
|  0  1  1  1     1     1     1     1 |
|  0  1  1  1     1     0     0     0 |
|  0  1  1  1     1     0     0     1 |
|  0  1  1  1     1     0     1     0 |
|  0  1  1  1     1     0     1     1 |
|  0  1  1  1     0     1     0     0 |
|  0  1  1  1     0     1     0     1 |
|  0  1  1  1     0     1     1     0 |
|  0  1  1  1     0     1     1     1 |
|  0  1  1  1     0     0     0     0 |
|  0  1  1  1     0     0     0     1 |
|  0  1  1  1     0     0     1     0 |
|  0  1  1  1     0     0     1     1 |
|  1  0  0  0     0     1     1     0 |
|  1  0  0  0     0     1     1     1 |
|  1  0  0  0     0     1     0     0 |
|  1  0  0  0     0     1     0     1 |
|  1  0  0  0     0     0     1     0 |
|  1  0  0  0     0     0     1     1 |
|  1  0  0  0     0     0     0     0 |
|  1  0  0  0     0     0     0     1 |
|  1  0  0  0     1     1     1     0 |
|  1  0  0  0     1     1     1     1 |
|  1  0  0  0     1     1     0     0 |
|  1  0  0  0     1     1     0     1 |
|  1  0  0  0     1     0     1     0 |
|  1  0  0  0     1     0     1     1 |
|  1  0  0  0     1     0     0     0 |
|  1  0  0  0     1     0     0     1 |
|  1  0  0  1     0     0     1     1 |
|  1  0  0  1     0     0     1     0 |
|  1  0  0  1     0     0     0     1 |
|  1  0  0  1     0     0     0     0 |
|  1  0  0  1     0     1     1     1 |
|  1  0  0  1     0     1     1     0 |
|  1  0  0  1     0     1     0     1 |
|  1  0  0  1     0     1     0     0 |
|  1  0  0  1     1     0     1     1 |
|  1  0  0  1     1     0     1     0 |
|  1  0  0  1     1     0     0     1 |
|  1  0  0  1     1     0     0     0 |
|  1  0  0  1     1     1     1     1 |
|  1  0  0  1     1     1     1     0 |
|  1  0  0  1     1     1     0     1 |
|  1  0  0  1     1     1     0     0 |
|  1  0  1  0     1     0     0     1 |
|  1  0  1  0     1     0     0     0 |
|  1  0  1  0     1     0     1     1 |
|  1  0  1  0     1     0     1     0 |
|  1  0  1  0     1     1     0     1 |
|  1  0  1  0     1     1     0     0 |
|  1  0  1  0     1     1     1     1 |
|  1  0  1  0     1     1     1     0 |
|  1  0  1  0     0     0     0     1 |
|  1  0  1  0     0     0     0     0 |
|  1  0  1  0     0     0     1     1 |
|  1  0  1  0     0     0     1     0 |
|  1  0  1  0     0     1     0     1 |
|  1  0  1  0     0     1     0     0 |
|  1  0  1  0     0     1     1     1 |
|  1  0  1  0     0     1     1     0 |
|  1  0  1  1     1     1     0     0 |
|  1  0  1  1     1     1     0     1 |
|  1  0  1  1     1     1     1     0 |
|  1  0  1  1     1     1     1     1 |
|  1  0  1  1     1     0     0     0 |
|  1  0  1  1     1     0     0     1 |
|  1  0  1  1     1     0     1     0 |
|  1  0  1  1     1     0     1     1 |
|  1  0  1  1     0     1     0     0 |
|  1  0  1  1     0     1     0     1 |
|  1  0  1  1     0     1     1     0 |
|  1  0  1  1     0     1     1     1 |
|  1  0  1  1     0     0     0     0 |
|  1  0  1  1     0     0     0     1 |
|  1  0  1  1     0     0     1     0 |
|  1  0  1  1     0     0     1     1 |
|  1  1  0  0     0     1     1     0 |
|  1  1  0  0     0     1     1     1 |
|  1  1  0  0     0     1     0     0 |
|  1  1  0  0     0     1     0     1 |
|  1  1  0  0     0     0     1     0 |
|  1  1  0  0     0     0     1     1 |
|  1  1  0  0     0     0     0     0 |
|  1  1  0  0     0     0     0     1 |
|  1  1  0  0     1     1     1     0 |
|  1  1  0  0     1     1     1     1 |
|  1  1  0  0     1     1     0     0 |
|  1  1  0  0     1     1     0     1 |
|  1  1  0  0     1     0     1     0 |
|  1  1  0  0     1     0     1     1 |
|  1  1  0  0     1     0     0     0 |
|  1  1  0  0     1     0     0     1 |
|  1  1  0  1     0     0     1     1 |
|  1  1  0  1     0     0     1     0 |
|  1  1  0  1     0     0     0     1 |
|  1  1  0  1     0     0     0     0 |
|  1  1  0  1     0     1     1     1 |
|  1  1  0  1     0     1     1     0 |
|  1  1  0  1     0     1     0     1 |
|  1  1  0  1     0     1     0     0 |
|  1  1  0  1     1     0     1     1 |
|  1  1  0  1     1     0     1     0 |
|  1  1  0  1     1     0     0     1 |
|  1  1  0  1     1     0     0     0 |
|  1  1  0  1     1     1     1     1 |
|  1  1  0  1     1     1     1     0 |
|  1  1  0  1     1     1     0     1 |
|  1  1  0  1     1     1     0     0 |
|  1  1  1  0     1     0     0     1 |
|  1  1  1  0     1     0     0     0 |
|  1  1  1  0     1     0     1     1 |
|  1  1  1  0     1     0     1     0 |
|  1  1  1  0     1     1     0     1 |
|  1  1  1  0     1     1     0     0 |
|  1  1  1  0     1     1     1     1 |
|  1  1  1  0     1     1     1     0 |
|  1  1  1  0     0     0     0     1 |
|  1  1  1  0     0     0     0     0 |
|  1  1  1  0     0     0     1     1 |
|  1  1  1  0     0     0     1     0 |
|  1  1  1  0     0     1     0     1 |
|  1  1  1  0     0     1     0     0 |
|  1  1  1  0     0     1     1     1 |
|  1  1  1  0     0     1     1     0 |
|  1  1  1  1     1     1     0     0 |
|  1  1  1  1     1     1     0     1 |
|  1  1  1  1     1     1     1     0 |
|  1  1  1  1     1     1     1     1 |
|  1  1  1  1     1     0     0     0 |
|  1  1  1  1     1     0     0     1 |
|  1  1  1  1     1     0     1     0 |
|  1  1  1  1     1     0     1     1 |
|  1  1  1  1     0     1     0     0 |
|  1  1  1  1     0     1     0     1 |
|  1  1  1  1     0     1     1     0 |
|  1  1  1  1     0     1     1     1 |
|  1  1  1  1     0     0     0     0 |
|  1  1  1  1     0     0     0     1 |
|  1  1  1  1     0     0     1     0 |
|  1  1  1  1     0     0     1     1 |
+-------------------------------------+

C_mat:
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |
| 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |
| 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |
| 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |
| 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |
